City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,sao filipe,14.8961,-24.4956,20.47,64,37,7.06,CV,1675648209
107,east london,-33.0153,27.9116,23.39,85,74,5.68,ZA,1675647870
108,fort smith,35.3859,-94.3986,13.02,62,0,0.0,US,1675648129
109,sayyan,15.1718,44.3244,9.68,36,10,1.11,YE,1675648209
110,fuerte olimpo,-21.0415,-57.8738,24.2,62,6,2.16,PY,1675648209
111,kodinsk,58.6881,99.1844,-13.26,96,100,1.99,RU,1675648210
112,tuktoyaktuk,69.4541,-133.0374,-43.0,66,20,2.06,CA,1675648210
113,cape town,-33.9258,18.4232,22.17,77,0,5.81,ZA,1675648200
114,izumo,35.3667,132.7667,4.94,81,75,4.12,JP,1675648210
115,mackay,-21.15,149.2,30.38,79,65,5.63,AU,1675648211
116,kandrian,-6.2167,149.55,29.63,69,94,3.21,PG,1675648211
117,moa,20.6569,-74.9403,23.63,87,5,4.33,CU,1675648212
118,maceio,-9.6658,-35.7353,24.69,94,20,2.06,BR,1675648203
119,butaritari,3.0707,172.7902,27.01,82,86,8.3,KI,1675648212
120,ostrovnoy,68.0531,39.5131,-10.25,91,100,7.68,RU,1675648212
121,tome,-36.6167,-72.95,13.34,87,6,0.65,CL,1675648213
122,berdigestyakh,62.0989,126.6992,-34.41,96,100,1.71,RU,1675648213
123,yellowknife,62.456,-114.3525,-19.69,77,100,5.14,CA,1675647962
124,jieshi,22.8134,115.8257,18.18,86,99,4.06,CN,1675648214
125,castro,-24.7911,-50.0119,16.49,81,9,2.16,BR,1675648214
126,verkhnevilyuysk,63.4453,120.3167,-42.42,99,73,1.27,RU,1675648214
127,rio verde de mato grosso,-18.9181,-54.8442,23.04,89,100,1.69,BR,1675648215
128,new norfolk,-42.7826,147.0587,22.18,54,49,2.24,AU,1675648215
129,laminusa,5.5549,120.9136,27.37,73,19,2.25,PH,1675648216
130,coquimbo,-29.9533,-71.3436,18.85,82,0,2.57,CL,1675648060
131,novosysoyevka,44.235,133.3642,-9.52,87,97,0.65,RU,1675648216
132,hambantota,6.1241,81.1185,24.19,100,40,1.03,LK,1675648180
133,port elizabeth,-33.918,25.5701,23.94,94,75,5.66,ZA,1675648216
134,lebu,-37.6167,-73.65,15.93,89,1,7.61,CL,1675647952
135,port hardy,50.6996,-127.4199,7.1,81,75,2.06,CA,1675647934
136,tiksi,71.6872,128.8694,-32.05,100,100,1.36,RU,1675648217
137,longyearbyen,78.2186,15.6401,-2.09,74,40,1.03,SJ,1675647932
138,deming,32.2687,-107.7586,19.94,12,0,3.6,US,1675648217
139,cabo san lucas,22.8909,-109.9124,26.17,33,0,5.14,MX,1675647603
140,manta,-0.95,-80.7333,26.88,78,75,2.57,EC,1675648146
141,takahashi,34.7833,133.6167,6.14,48,100,0.52,JP,1675648218
142,ochamchira,42.7121,41.4721,5.79,51,88,1.36,GE,1675648218
143,atasu,48.6814,71.6433,-7.24,97,96,2.74,KZ,1675648218
144,tautira,-17.7333,-149.15,27.22,77,100,4.93,PF,1675648219
145,isiro,2.7739,27.616,20.25,43,100,1.59,CD,1675648219
146,mongu,-15.2484,23.1274,19.32,96,100,1.96,ZM,1675648219
147,luderitz,-26.6481,15.1594,16.28,95,80,2.01,NA,1675648220
148,salalah,17.0151,54.0924,21.05,78,0,2.06,OM,1675647984
149,severo-kurilsk,50.6789,156.125,-2.51,63,100,6.07,RU,1675648220
150,provideniya,64.3833,-173.3,-12.94,61,100,7.15,RU,1675648220
151,cherskiy,68.75,161.3,-38.37,99,99,2.11,RU,1675648221
152,hithadhoo,-0.6,73.0833,27.31,70,99,4.91,MV,1675648221
153,port macquarie,-31.4333,152.9167,28.83,56,1,4.96,AU,1675648221
154,talnakh,69.4865,88.3972,-15.44,98,100,0.98,RU,1675648222
155,nampula,-15.1165,39.2666,21.97,100,75,3.13,MZ,1675648222
156,vardo,70.3705,31.1107,-3.01,93,100,3.09,NO,1675648222
157,juba,4.8517,31.5825,23.27,32,38,1.23,SS,1675648223
158,hasaki,35.7333,140.8333,11.27,65,7,3.47,JP,1675648223
159,neiafu,-18.65,-173.9833,29.38,74,75,4.12,TO,1675648224
160,pringsewu,-5.3582,104.9744,28.19,64,85,0.76,ID,1675648224
161,channel-port aux basques,47.5702,-59.1367,1.2,98,100,10.64,CA,1675648224
162,torbay,47.6666,-52.7314,-3.18,79,75,7.2,CA,1675648225
163,bograd,54.2344,90.8328,-22.74,99,24,1.65,RU,1675648225
164,timra,62.487,17.3257,-1.18,74,24,3.6,SE,1675648225
165,jacareacanga,-6.2222,-57.7528,22.69,98,99,0.62,BR,1675648226
166,deputatskiy,69.3,139.9,-38.12,99,97,2.25,RU,1675648226
167,saskylakh,71.9167,114.0833,-41.8,100,96,1.75,RU,1675648227
168,meulaboh,4.1363,96.1285,24.36,89,99,4.13,ID,1675648227
169,moroni,-11.7022,43.2551,26.34,83,100,3.46,KM,1675648227
170,aksarka,66.5606,67.7975,-26.37,100,35,1.11,RU,1675648228
171,cubara,7.0008,-72.1085,22.6,79,79,1.69,CO,1675648228
172,lagoa,39.05,-27.9833,14.74,85,100,4.62,PT,1675648228
173,namatanai,-3.6667,152.4333,29.15,68,91,2.14,PG,1675648228
174,bathsheba,13.2167,-59.5167,24.34,88,75,11.32,BB,1675648229
175,rundu,-17.9333,19.7667,18.52,94,100,1.12,NA,1675648229
176,nome,64.5011,-165.4064,-7.96,73,100,2.57,US,1675648229
177,xining,36.6167,101.7667,-3.44,51,77,0.88,CN,1675648177
178,dudinka,69.4058,86.1778,-15.21,100,100,1.69,RU,1675648230
179,guanica,17.9716,-66.908,25.51,71,4,5.13,PR,1675648230
180,lasa,46.6166,10.7002,-2.77,93,58,2.52,IT,1675648230
181,taybad,34.74,60.7756,4.85,41,0,1.68,IR,1675648231
182,novokayakent,42.3937,47.9861,3.15,77,100,1.83,RU,1675648231
183,georgetown,5.4112,100.3354,25.96,94,40,2.06,MY,1675648232
184,necochea,-38.5473,-58.7368,23.02,49,100,2.37,AR,1675648232
185,vestmannaeyjar,63.4427,-20.2734,4.38,67,100,14.53,IS,1675648232
186,tessalit,20.1986,1.0114,18.54,11,0,3.28,ML,1675648232
187,zyryanka,65.75,150.85,-31.48,96,100,0.23,RU,1675648233
188,mahebourg,-20.4081,57.7,25.7,88,40,1.54,MU,1675648135
189,beroroha,-21.6667,45.1667,21.98,87,100,1.81,MG,1675648233
190,wiwili,13.6268,-85.8254,23.66,63,91,2.91,NI,1675648233
191,viesca,25.35,-102.8,17.34,22,0,1.03,MX,1675648234
192,shelburne,44.0787,-80.2041,1.42,91,100,4.43,CA,1675648234
193,luena,-11.7833,19.9167,16.39,94,100,2.92,AO,1675648234
194,birao,10.2849,22.7882,20.1,17,24,2.11,CF,1675648235
195,ponta do sol,32.6667,-17.1,16.51,60,7,2.29,PT,1675648235
